Lab,Method,Subject,Subject_Unique,Language,Condition,Age,Session,total_trial_n,N_below_threshold_lt,mean_log_lt,mean_lt,ConditionC,language_recoded,Native
InfantCog-UBC,central fixation,AD42,InfantCog-UBC:AD42,English,ADS,158,1,16,0,2.006992508150671,8.3925,-0.5,American English,TRUE
InfantCog-UBC,central fixation,AD42,InfantCog-UBC:AD42,English,ADS,169,2,16,0,1.6208357250115812,5.69625,-0.5,American English,TRUE
InfantCog-UBC,central fixation,AD42,InfantCog-UBC:AD42,English,IDS,158,1,16,0,2.2251924977647355,10.0975,0.5,American English,TRUE
InfantCog-UBC,central fixation,AD42,InfantCog-UBC:AD42,English,IDS,169,2,16,0,1.680214076071282,6.425,0.5,American English,TRUE
InfantCog-UBC,central fixation,PH39,InfantCog-UBC:PH39,English,ADS,116,1,16,0,1.7085927103564678,6.26,-0.5,American English,TRUE
InfantCog-UBC,central fixation,PH39,InfantCog-UBC:PH39,English,IDS,116,1,16,0,1.85579396091501,7.1775,0.5,American English,TRUE
InfantCog-UBC,central fixation,VM20,InfantCog-UBC:VM20,English,ADS,113,2,16,0,2.251763500751688,10.2,-0.5,American English,TRUE
InfantCog-UBC,central fixation,VM20,InfantCog-UBC:VM20,English,IDS,113,2,16,0,2.020408042545804,8.5825,0.5,American English,TRUE
babylab-potsdam,HPP,b7033,babylab-potsdam:b7033,German,ADS,218,1,16,0,1.7261817691748778,6.153625,-0.5,German,FALSE
babylab-potsdam,HPP,b7033,babylab-potsdam:b7033,German,ADS,239,2,16,0,1.2488995113807673,3.593875,-0.5,German,FALSE
babylab-potsdam,HPP,b7033,babylab-potsdam:b7033,German,IDS,218,1,16,0,2.1442669477395024,8.775125,0.5,German,FALSE
babylab-potsdam,HPP,b7033,babylab-potsdam:b7033,German,IDS,239,2,16,0,1.2405228629476872,3.552625,0.5,German,FALSE
babylab-potsdam,HPP,b7105,babylab-potsdam:b7105,German,ADS,197,1,16,0,2.298322770212539,11.067875,-0.5,German,FALSE
babylab-potsdam,HPP,b7105,babylab-potsdam:b7105,German,IDS,197,1,16,0,2.2362103963616518,10.837375,0.5,German,FALSE
babylab-potsdam,HPP,b7135,babylab-potsdam:b7135,German,ADS,257,1,16,0,2.1548532262393443,9.616125,-0.5,German,FALSE
babylab-potsdam,HPP,b7135,babylab-potsdam:b7135,German,IDS,257,1,16,0,2.3254487385336966,11.575,0.5,German,FALSE
babylab-potsdam,HPP,b7139,babylab-potsdam:b7139,German,ADS,206,1,16,0,2.430194516536,12.024625,-0.5,German,FALSE
babylab-potsdam,HPP,b7139,babylab-potsdam:b7139,German,IDS,206,1,16,0,2.191627391255139,9.99,0.5,German,FALSE
babylab-potsdam,HPP,b7145,babylab-potsdam:b7145,German,ADS,254,1,16,0,1.751386261898145,6.802375,-0.5,German,FALSE
babylab-potsdam,HPP,b7145,babylab-potsdam:b7145,German,ADS,263,2,16,0,1.704180706213363,5.814,-0.5,German,FALSE
babylab-potsdam,HPP,b7145,babylab-potsdam:b7145,German,IDS,254,1,16,0,2.0127821466813716,8.510125,0.5,German,FALSE
babylab-potsdam,HPP,b7145,babylab-potsdam:b7145,German,IDS,263,2,16,0,1.9207205305724238,7.628375,0.5,German,FALSE
babylab-potsdam,HPP,b7146,babylab-potsdam:b7146,German,ADS,220,1,16,0,1.835091571871141,7.28475,-0.5,German,FALSE
babylab-potsdam,HPP,b7146,babylab-potsdam:b7146,German,ADS,230,2,16,0,1.901748532229191,9.00925,-0.5,German,FALSE
babylab-potsdam,HPP,b7146,babylab-potsdam:b7146,German,IDS,220,1,16,0,2.01410914953806,9.394125,0.5,German,FALSE
babylab-potsdam,HPP,b7146,babylab-potsdam:b7146,German,IDS,230,2,16,0,1.8062778608393986,7.024125,0.5,German,FALSE
babylab-potsdam,HPP,b7147,babylab-potsdam:b7147,German,ADS,210,1,16,0,1.9003445141600972,7.5555,-0.5,German,FALSE
babylab-potsdam,HPP,b7147,babylab-potsdam:b7147,German,ADS,217,2,16,0,1.8826883280743498,8.4225,-0.5,German,FALSE
babylab-potsdam,HPP,b7147,babylab-potsdam:b7147,German,IDS,210,1,16,0,1.9267695522482422,7.93075,0.5,German,FALSE
babylab-potsdam,HPP,b7147,babylab-potsdam:b7147,German,IDS,217,2,16,0,1.9372328309726161,8.92025,0.5,German,FALSE
babylab-potsdam,HPP,b7149,babylab-potsdam:b7149,German,ADS,231,1,16,0,2.054857682824592,8.757125,-0.5,German,FALSE
babylab-potsdam,HPP,b7149,babylab-potsdam:b7149,German,IDS,231,1,16,0,2.1464329863128824,9.138874999999999,0.5,German,FALSE
babylab-potsdam,HPP,b7151,babylab-potsdam:b7151,German,ADS,232,1,16,0,1.5478491332478441,5.9799999999999995,-0.5,German,FALSE
babylab-potsdam,HPP,b7151,babylab-potsdam:b7151,German,IDS,232,1,16,0,2.145789126316932,9.882875,0.5,German,FALSE
babylab-potsdam,HPP,b7155,babylab-potsdam:b7155,German,ADS,207,1,16,0,2.3174078345520264,12.021125,-0.5,German,FALSE
babylab-potsdam,HPP,b7155,babylab-potsdam:b7155,German,ADS,217,2,16,0,2.584634239694747,14.051124999999999,-0.5,German,FALSE
babylab-potsdam,HPP,b7155,babylab-potsdam:b7155,German,IDS,207,1,16,0,2.392977857538122,11.919375,0.5,German,FALSE
babylab-potsdam,HPP,b7155,babylab-potsdam:b7155,German,IDS,217,2,16,0,2.362337111903631,11.490625,0.5,German,FALSE
babylab-potsdam,HPP,b7171,babylab-potsdam:b7171,German,ADS,205,1,16,0,2.322519627938278,10.735125,-0.5,German,FALSE
babylab-potsdam,HPP,b7171,babylab-potsdam:b7171,German,IDS,205,1,16,0,2.420700677935961,12.271875,0.5,German,FALSE
babylab-potsdam,HPP,b7172,babylab-potsdam:b7172,German,ADS,194,1,16,0,2.0633427955345254,8.716,-0.5,German,FALSE
babylab-potsdam,HPP,b7172,babylab-potsdam:b7172,German,IDS,194,1,16,0,2.1688216501171866,10.8695,0.5,German,FALSE
babylab-potsdam,HPP,b7184,babylab-potsdam:b7184,German,ADS,226,1,16,0,1.2214162679978782,3.609,-0.5,German,FALSE
babylab-potsdam,HPP,b7184,babylab-potsdam:b7184,German,IDS,226,1,16,0,1.4734982851311227,4.70325,0.5,German,FALSE
babyling-oslo,Eyetracking,OS_026,babyling-oslo:OS_026,Norwegian,ADS,282,2,16,0,1.4039536000738075,4.5525,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_026,babyling-oslo:OS_026,Norwegian,IDS,282,2,16,0,1.4472677012884656,4.81775,0.5,Norwegian,FALSE
brookes-babylab,central fixation,MB_103,brookes-babylab:MB_103,English,ADS,368,1,16,0,1.689989884461614,7.62125,-0.5,English,FALSE
brookes-babylab,central fixation,MB_103,brookes-babylab:MB_103,English,IDS,368,1,16,0,1.550017788209279,5.365,0.5,English,FALSE
brookes-babylab,central fixation,MB_136,brookes-babylab:MB_136,English,ADS,295,1,16,0,1.5651419038100134,5.43625,-0.5,English,FALSE
brookes-babylab,central fixation,MB_136,brookes-babylab:MB_136,English,IDS,295,1,16,0,2.174140272358806,9.55875,0.5,English,FALSE
brookes-babylab,central fixation,MB_137,brookes-babylab:MB_137,English,ADS,252,1,16,0,1.669200050595933,5.86875,-0.5,English,FALSE
brookes-babylab,central fixation,MB_137,brookes-babylab:MB_137,English,IDS,252,1,16,0,2.027888527732701,8.375,0.5,English,FALSE
brookes-babylab,central fixation,MB_138,brookes-babylab:MB_138,English,ADS,247,2,16,0,1.7507430730204003,6.35375,-0.5,English,FALSE
brookes-babylab,central fixation,MB_138,brookes-babylab:MB_138,English,IDS,247,2,16,0,2.48004248877366,12.66375,0.5,English,FALSE
brookes-babylab,central fixation,MB_139,brookes-babylab:MB_139,English,ADS,284,2,16,0,1.8446797211913528,7.0062500000000005,-0.5,English,FALSE
brookes-babylab,central fixation,MB_139,brookes-babylab:MB_139,English,IDS,284,2,16,0,2.3186603513566935,10.748750000000001,0.5,English,FALSE
brookes-babylab,central fixation,MB_140,brookes-babylab:MB_140,English,ADS,261,2,16,0,1.531153559862088,5.65125,-0.5,English,FALSE
brookes-babylab,central fixation,MB_140,brookes-babylab:MB_140,English,IDS,261,2,16,0,1.9031524762734866,8.22625,0.5,English,FALSE
brookes-babylab,central fixation,MB_141,brookes-babylab:MB_141,English,ADS,270,2,16,0,1.9131873444268914,8.91375,-0.5,English,FALSE
brookes-babylab,central fixation,MB_141,brookes-babylab:MB_141,English,IDS,270,2,16,0,1.9149009045709382,7.4325,0.5,English,FALSE
brookes-babylab,central fixation,MB_143,brookes-babylab:MB_143,English,ADS,287,1,16,0,1.871638670595234,6.955,-0.5,English,FALSE
brookes-babylab,central fixation,MB_143,brookes-babylab:MB_143,English,IDS,287,1,16,0,2.1767376788054054,10.17375,0.5,English,FALSE
brookes-babylab,central fixation,MB_144,brookes-babylab:MB_144,English,ADS,216,1,16,0,2.1725502317076018,9.28625,-0.5,English,FALSE
brookes-babylab,central fixation,MB_144,brookes-babylab:MB_144,English,IDS,216,1,16,0,2.3084009454843106,11.855,0.5,English,FALSE
brookes-babylab,central fixation,MB_42,brookes-babylab:MB_42,English,ADS,228,1,16,0,1.8097956840105929,6.811249999999999,-0.5,English,FALSE
brookes-babylab,central fixation,MB_42,brookes-babylab:MB_42,English,ADS,235,2,16,0,1.562920778430566,4.96,-0.5,English,FALSE
brookes-babylab,central fixation,MB_42,brookes-babylab:MB_42,English,IDS,228,1,16,0,2.249298696399034,10.85375,0.5,English,FALSE
brookes-babylab,central fixation,MB_42,brookes-babylab:MB_42,English,IDS,235,2,16,0,2.269966724394867,10.838750000000001,0.5,English,FALSE
brookes-babylab,central fixation,MB_48,brookes-babylab:MB_48,English,ADS,269,1,16,0,2.11750049806192,9.6225,-0.5,English,FALSE
brookes-babylab,central fixation,MB_48,brookes-babylab:MB_48,English,IDS,269,1,16,0,2.1454026878617443,10.56875,0.5,English,FALSE
brookes-babylab,central fixation,MB_50,brookes-babylab:MB_50,English,ADS,255,1,16,0,1.5012147742358155,5.0725,-0.5,English,FALSE
brookes-babylab,central fixation,MB_50,brookes-babylab:MB_50,English,IDS,255,1,16,0,1.735472820252561,6.26,0.5,English,FALSE
brookes-babylab,central fixation,MB_63,brookes-babylab:MB_63,English,ADS,182,2,16,0,1.2929020127013162,4.16875,-0.5,English,FALSE
brookes-babylab,central fixation,MB_63,brookes-babylab:MB_63,English,IDS,182,2,16,0,1.8648349183275157,8.055,0.5,English,FALSE
brookes-babylab,central fixation,MB_80,brookes-babylab:MB_80,English,ADS,270,1,16,0,1.6539076049705281,5.78125,-0.5,English,FALSE
brookes-babylab,central fixation,MB_80,brookes-babylab:MB_80,English,ADS,282,2,16,0,1.796122601547576,7.12625,-0.5,English,FALSE
brookes-babylab,central fixation,MB_80,brookes-babylab:MB_80,English,IDS,270,1,16,0,1.7881241684382991,6.43625,0.5,English,FALSE
brookes-babylab,central fixation,MB_80,brookes-babylab:MB_80,English,IDS,282,2,16,0,2.2391457428653547,11.08,0.5,English,FALSE
brookes-babylab,central fixation,MB_88,brookes-babylab:MB_88,English,ADS,266,2,16,0,1.4146026764768442,4.4075,-0.5,English,FALSE
brookes-babylab,central fixation,MB_88,brookes-babylab:MB_88,English,IDS,266,2,16,0,1.7406249237080123,6.34125,0.5,English,FALSE
infantll-madison,HPP,mb2_007,infantll-madison:mb2_007,English,ADS,225,1,16,0,1.6320142848251282,5.458,-0.5,American English,TRUE
infantll-madison,HPP,mb2_007,infantll-madison:mb2_007,English,IDS,225,1,16,0,1.6005516012954981,5.5815,0.5,American English,TRUE
infantll-madison,HPP,mb2_009,infantll-madison:mb2_009,English,ADS,225,2,16,0,1.662302167773782,7.391,-0.5,American English,TRUE
infantll-madison,HPP,mb2_009,infantll-madison:mb2_009,English,IDS,225,2,16,0,1.7637936756626718,8.508875,0.5,American English,TRUE
infantll-madison,HPP,mb2_017,infantll-madison:mb2_017,English,ADS,253,1,16,0,1.597720267427734,6.2,-0.5,American English,TRUE
infantll-madison,HPP,mb2_017,infantll-madison:mb2_017,English,IDS,253,1,16,0,1.786838313881176,6.879125,0.5,American English,TRUE
