Lab,Method,Subject,Subject_Unique,Language,Age,Session,total_trial_n,language_recoded,Native,ADS,IDS,Diff,Prop,binary_pref
babylab-potsdam,HPP,b7027,babylab-potsdam:b7027,German,251,1,14,German,FALSE,2.0301167299780323,1.7694492305930332,-0.2606674993849991,0.4656977267811635,ADS_preference
babylab-potsdam,HPP,b7027,babylab-potsdam:b7027,German,260,2,13,German,FALSE,1.6029670062444594,2.127938677211023,0.5249716709665637,0.5703544548572381,IDS_preference
babylab-potsdam,HPP,b7030,babylab-potsdam:b7030,German,200,1,14,German,FALSE,2.121595890610152,1.518575259978099,-0.6030206306320529,0.4171713903431979,ADS_preference
babylab-potsdam,HPP,b7030,babylab-potsdam:b7030,German,207,2,10,German,FALSE,1.594359969436332,2.0109300847551994,0.41657011531886745,0.5577720667487711,IDS_preference
babylab-potsdam,HPP,b7033,babylab-potsdam:b7033,German,218,1,16,German,FALSE,1.7261817691748778,2.1442669477395024,0.4180851785646247,0.5540099106258063,IDS_preference
babylab-potsdam,HPP,b7033,babylab-potsdam:b7033,German,239,2,16,German,FALSE,1.2488995113807673,1.2405228629476872,-0.008376648433080058,0.4983175517904349,ADS_preference
babylab-potsdam,HPP,b7059,babylab-potsdam:b7059,German,221,1,10,German,FALSE,1.472371664013994,1.7997993651585729,0.32742770114457875,0.5500321801986273,IDS_preference
babylab-potsdam,HPP,b7059,babylab-potsdam:b7059,German,228,2,5,German,FALSE,1.2299165451654246,1.0556584773110143,-0.17425806785441034,0.4618787250165167,ADS_preference
babylab-potsdam,HPP,b7096,babylab-potsdam:b7096,German,216,1,15,German,FALSE,1.5319373406049281,1.858101431531208,0.32616409092627996,0.5481062478705453,IDS_preference
babylab-potsdam,HPP,b7096,babylab-potsdam:b7096,German,223,2,14,German,FALSE,1.686149878440336,1.4807631603942195,-0.2053867180461164,0.46757304107698205,ADS_preference
babylab-potsdam,HPP,b7105,babylab-potsdam:b7105,German,197,1,16,German,FALSE,2.298322770212539,2.2362103963616518,-0.06211237385088708,0.49315118320131146,ADS_preference
babylab-potsdam,HPP,b7105,babylab-potsdam:b7105,German,204,2,14,German,FALSE,1.8021121974716847,1.6152072406787312,-0.1869049567929535,0.4726532798329626,ADS_preference
babylab-potsdam,HPP,b7135,babylab-potsdam:b7135,German,257,1,16,German,FALSE,2.1548532262393443,2.3254487385336966,0.17059551229435233,0.5190383944693552,IDS_preference
babylab-potsdam,HPP,b7135,babylab-potsdam:b7135,German,266,2,15,German,FALSE,1.5882686722177908,1.3900365494615197,-0.1982321227562711,0.46672065016820236,ADS_preference
babylab-potsdam,HPP,b7139,babylab-potsdam:b7139,German,206,1,16,German,FALSE,2.430194516536,2.191627391255139,-0.238567125280861,0.47419122479830933,ADS_preference
babylab-potsdam,HPP,b7139,babylab-potsdam:b7139,German,213,2,13,German,FALSE,1.4949558483169443,2.157162642530067,0.6622067942131227,0.5906606392800171,IDS_preference
babylab-potsdam,HPP,b7140,babylab-potsdam:b7140,German,191,1,15,German,FALSE,2.1360003945994923,2.2315652152576946,0.09556482065820227,0.5109402844965307,IDS_preference
babylab-potsdam,HPP,b7140,babylab-potsdam:b7140,German,196,2,14,German,FALSE,1.3475018670002692,1.6950268087435956,0.3475249417433264,0.55711120235512,IDS_preference
babylab-potsdam,HPP,b7145,babylab-potsdam:b7145,German,254,1,16,German,FALSE,1.7513862618981448,2.0127821466813716,0.26139588478322673,0.5347215980277925,IDS_preference
babylab-potsdam,HPP,b7145,babylab-potsdam:b7145,German,263,2,16,German,FALSE,1.704180706213363,1.9207205305724238,0.21653982435906083,0.5298683757451923,IDS_preference
babylab-potsdam,HPP,b7146,babylab-potsdam:b7146,German,220,1,16,German,FALSE,1.835091571871141,2.01410914953806,0.17901757766691917,0.5232538636750256,IDS_preference
babylab-potsdam,HPP,b7146,babylab-potsdam:b7146,German,230,2,16,German,FALSE,1.901748532229191,1.8062778608393986,-0.09547067138979237,0.4871264843788254,ADS_preference
babylab-potsdam,HPP,b7147,babylab-potsdam:b7147,German,210,1,16,German,FALSE,1.9003445141600972,1.9267695522482422,0.026425038088145003,0.5034523452436505,IDS_preference
babylab-potsdam,HPP,b7147,babylab-potsdam:b7147,German,217,2,16,German,FALSE,1.8826883280743498,1.9372328309726161,0.05454450289826629,0.5071394801917685,IDS_preference
babylab-potsdam,HPP,b7149,babylab-potsdam:b7149,German,231,1,16,German,FALSE,2.054857682824592,2.1464329863128824,0.09157530348829024,0.5108984727194668,IDS_preference
babylab-potsdam,HPP,b7149,babylab-potsdam:b7149,German,242,2,15,German,FALSE,1.2638797379748643,1.523775949550581,0.25989621157571663,0.5466155509697149,IDS_preference
babylab-potsdam,HPP,b7151,babylab-potsdam:b7151,German,232,1,16,German,FALSE,1.5478491332478441,2.145789126316932,0.5979399930690881,0.58094187235589545,IDS_preference
babylab-potsdam,HPP,b7151,babylab-potsdam:b7151,German,241,2,14,German,FALSE,1.8196630424679985,2.018075630779993,0.1984125883119947,0.5258501952849323,IDS_preference
babylab-potsdam,HPP,b7155,babylab-potsdam:b7155,German,207,1,16,German,FALSE,2.3174078345520264,2.392977857538122,0.07557002298609561,0.5080216385584938,IDS_preference
babylab-potsdam,HPP,b7155,babylab-potsdam:b7155,German,217,2,16,German,FALSE,2.584634239694747,2.362337111903631,-0.2222971277911161,0.4775319976616307,ADS_preference
babylab-potsdam,HPP,b7161,babylab-potsdam:b7161,German,209,1,13,German,FALSE,1.8790071797209187,1.854428974653555,-0.024578205067363745,0.49670836676307356,ADS_preference
