Lab,Method,Subject,Subject_Unique,Language,Age,Session,total_trial_n,language_recoded,Native,ADS,IDS,mean_log_lt_ADS,mean_log_lt_IDS,Diff,Prop,binary_pref,Diff_log_lt,Prop_log_lt
InfantCog-UBC,central fixation,AD42,InfantCog-UBC:AD42,English,158,1,16,American English,TRUE,8.3925,10.0975,2.006992508150671,2.2251924977647355,1.705,0.5461060032449973,IDS_preference,0.21819998961406428,0.5257786449917812
InfantCog-UBC,central fixation,AD42,InfantCog-UBC:AD42,English,169,2,16,American English,TRUE,5.69625,6.425,1.6208357250115812,1.680214076071282,0.7287499999999998,0.5300608435598638,IDS_preference,0.059378351059700796,0.5089938587173424
babylab-potsdam,HPP,b7033,babylab-potsdam:b7033,German,218,1,16,German,FALSE,6.153625,8.775125,1.7261817691748778,2.1442669477395024,2.6214999999999993,0.5878003851628569,IDS_preference,0.4180851785646247,0.5540099106258063
babylab-potsdam,HPP,b7033,babylab-potsdam:b7033,German,239,2,16,German,FALSE,3.593875,3.552625,1.2488995113807673,1.2405228629476872,-0.04125000000000023,0.4971139718743441,ADS_preference,-0.008376648433080058,0.4983175517904349
babylab-potsdam,HPP,b7145,babylab-potsdam:b7145,German,254,1,16,German,FALSE,6.802375,8.510125,1.751386261898145,2.0127821466813716,1.7077500000000008,0.5557632653061225,IDS_preference,0.2613958847832265,0.5347215980277925
babylab-potsdam,HPP,b7145,babylab-potsdam:b7145,German,263,2,16,German,FALSE,5.814,7.628375,1.704180706213363,1.9207205305724238,1.814375,0.5674871441988488,IDS_preference,0.21653982435906083,0.5298683757451923
babylab-potsdam,HPP,b7146,babylab-potsdam:b7146,German,220,1,16,German,FALSE,7.28475,9.394125,1.835091571871141,2.01410914953806,2.109375000000001,0.5632349304134722,IDS_preference,0.17901757766691917,0.5232538636750256
babylab-potsdam,HPP,b7146,babylab-potsdam:b7146,German,230,2,16,German,FALSE,9.00925,7.024125,1.901748532229191,1.8062778608393986,-1.985125,0.4380939758472561,ADS_preference,-0.09547067138979237,0.4871264843788254
babylab-potsdam,HPP,b7147,babylab-potsdam:b7147,German,210,1,16,German,FALSE,7.5555,7.93075,1.9003445141600972,1.9267695522482422,0.3752499999999994,0.5121155864072968,IDS_preference,0.026425038088145003,0.5034523452436505
babylab-potsdam,HPP,b7147,babylab-potsdam:b7147,German,217,2,16,German,FALSE,8.4225,8.92025,1.8826883280743498,1.9372328309726161,0.4977499999999999,0.5143503769586715,IDS_preference,0.05454450289826629,0.5071394801917685
babylab-potsdam,HPP,b7155,babylab-potsdam:b7155,German,207,1,16,German,FALSE,12.021125,11.919375,2.3174078345520264,2.392977857538122,-0.10174999999999912,0.4978749399553059,ADS_preference,0.07557002298609561,0.5080216385584938
babylab-potsdam,HPP,b7155,babylab-potsdam:b7155,German,217,2,16,German,FALSE,14.051124999999999,11.490625,2.584634239694747,2.362337111903631,-2.5604999999999993,0.4498761831119637,ADS_preference,-0.2222971277911161,0.4775319976616307
brookes-babylab,central fixation,MB_42,brookes-babylab:MB_42,English,228,1,16,English,FALSE,6.811249999999999,10.85375,1.8097956840105929,2.249298696399034,4.0425,0.6144211718086612,IDS_preference,0.43950301238844114,0.5541380627301511
brookes-babylab,central fixation,MB_42,brookes-babylab:MB_42,English,235,2,16,English,FALSE,4.96,10.838750000000001,1.562920778430566,2.269966724394867,5.878750000000001,0.686051111638579,IDS_preference,0.7070459459643008,0.5922341114164058
brookes-babylab,central fixation,MB_80,brookes-babylab:MB_80,English,270,1,16,English,FALSE,5.78125,6.43625,1.6539076049705281,1.7881241684382991,0.6550000000000002,0.5268058113361981,IDS_preference,0.134216563467771,0.5194967060595796
brookes-babylab,central fixation,MB_80,brookes-babylab:MB_80,English,282,2,16,English,FALSE,7.12625,11.08,1.796122601547576,2.2391457428653547,3.9537500000000003,0.6085822176450395,IDS_preference,0.44302314131777876,0.5548938885230732
lancslab,Eyetracking,P07,lancslab:P07,English,210,1,16,English,FALSE,13.317375,14.64975,2.5622183366792184,2.669165748686902,1.332374999999999,0.5238203783906997,IDS_preference,0.10694741200768343,0.510221712864369
lancslab,Eyetracking,P07,lancslab:P07,English,217,2,16,English,FALSE,12.756375,14.347999999999999,2.5219719660437847,2.636166661218242,1.5916249999999987,0.5293610348882791,IDS_preference,0.11419469517445746,0.5110693705061464
lancslab,Eyetracking,P10,lancslab:P10,English,229,1,16,English,FALSE,12.89625,12.475875,2.5106785677686894,2.509875422890081,-0.42037499999999994,0.4917158101656838,ADS_preference,-8.031448786085527e-4,0.4999200143171348
lancslab,Eyetracking,P10,lancslab:P10,English,236,2,16,English,FALSE,10.894875,12.254875,2.311792233005446,2.4787904125162616,1.3599999999999994,0.5293739673214614,IDS_preference,0.16699817951081553,0.5174298401538827
lancslab,Eyetracking,P11,lancslab:P11,English,235,1,16,English,FALSE,8.97175,12.016875,2.103273370984151,2.4604688921813063,3.0451250000000005,0.5725422699200162,IDS_preference,0.35719552119715514,0.5391340593530145
lancslab,Eyetracking,P11,lancslab:P11,English,242,2,16,English,FALSE,14.177624999999999,15.21925,2.6271029275295437,2.715973013311374,1.0416250000000016,0.5177165940257256,IDS_preference,0.08887008578183053,0.5083163786895235
wsi-goettingen,HPP,M504,wsi-goettingen:M504,German,228,1,16,German,FALSE,12.77725,13.215499999999999,2.4523808965874485,2.5284017410196444,0.43824999999999825,0.508430235354089,IDS_preference,0.07602084443219592,0.50763141557897
wsi-goettingen,HPP,M504,wsi-goettingen:M504,German,235,2,16,German,FALSE,9.40775,9.79475,2.007279540387162,2.1086736065758425,0.38700000000000045,0.5100768129149851,IDS_preference,0.1013940661886803,0.5123172036425505
wsi-goettingen,HPP,M506,wsi-goettingen:M506,German,252,1,16,German,FALSE,7.01725,13.436625000000001,1.7197078162781305,2.5511162852741314,6.419375000000001,0.6569231991493055,IDS_preference,0.8314084689960008,0.5973358360385083
wsi-goettingen,HPP,M506,wsi-goettingen:M506,German,259,2,16,German,FALSE,7.594125,10.041125,1.8795221474140358,2.2205907992879292,2.446999999999999,0.569378092173346,IDS_preference,0.34106865187389346,0.5415925922416651
wsi-goettingen,HPP,M511,wsi-goettingen:M511,German,204,1,16,German,FALSE,9.069749999999999,12.7905,2.079480640994761,2.3850936704679198,3.7207500000000007,0.5851030980889971,IDS_preference,0.3056130294731587,0.5342264467060729
wsi-goettingen,HPP,M511,wsi-goettingen:M511,German,212,2,16,German,FALSE,3.9285,9.67775,1.3020840824694018,2.0323108681789424,5.74925,0.7112723932016537,IDS_preference,0.7302267857095406,0.6094991440002562
wsi-goettingen,HPP,M514,wsi-goettingen:M514,German,236,1,16,German,FALSE,7.413125,9.761625,1.8364037478440913,2.16468473764063,2.3485000000000005,0.5683707186421928,IDS_preference,0.32828098979653886,0.5410239602282587
wsi-goettingen,HPP,M514,wsi-goettingen:M514,German,255,2,16,German,FALSE,6.4796249999999995,7.702875000000001,1.7477621486375137,1.9272001011147608,1.223250000000001,0.5431253305129561,IDS_preference,0.17943795247724714,0.5244135776482252
wsi-goettingen,HPP,M515,wsi-goettingen:M515,German,204,1,16,German,FALSE,13.943375,12.924125,2.612384432945267,2.4904406501411143,-1.0192499999999995,0.48103191588350236,ADS_preference,-0.12194378280415252,0.4880513459878977
wsi-goettingen,HPP,M515,wsi-goettingen:M515,German,219,2,16,German,FALSE,11.49875,13.651875,2.3718009064836068,2.553814441420224,2.153125000000001,0.5428046022713154,IDS_preference,0.1820135349366172,0.5184762229773053
wsi-goettingen,HPP,M516,wsi-goettingen:M516,German,228,1,16,German,FALSE,12.0435,12.171375,2.3756909361714227,2.4171573793911962,0.12787499999999952,0.5026404224675948,IDS_preference,0.04146644321977355,0.5043258664253081
wsi-goettingen,HPP,M516,wsi-goettingen:M516,German,235,2,16,German,FALSE,13.181125,10.533999999999999,2.4731637233200567,2.227485799184452,-2.647125000000001,0.4441890987291865,ADS_preference,-0.24567792413560463,0.47386766201570507
wsi-goettingen,HPP,M518,wsi-goettingen:M518,German,266,1,16,German,FALSE,8.650625,10.448,2.0391807718213104,2.183599978989882,1.7973750000000006,0.5470550890443684,IDS_preference,0.1444192071685717,0.5171000124906826
wsi-goettingen,HPP,M518,wsi-goettingen:M518,German,272,2,16,German,FALSE,5.588875,6.395125,1.6129529139723182,1.6219887916996298,0.8062500000000004,0.5336386014686249,IDS_preference,0.009035877727311625,0.5013966059591536
wsi-goettingen,central fixation,M220,wsi-goettingen:M220,German,205,1,16,German,FALSE,5.40375,5.9725,1.54637841732066,1.6670288004382032,0.5687500000000005,0.5249972530491156,IDS_preference,0.12065038311754317,0.5187729682143567
wsi-goettingen,central fixation,M220,wsi-goettingen:M220,German,221,2,16,German,FALSE,11.46125,11.9225,2.2854653905633446,2.309241346688557,0.4612499999999997,0.5098626182712354,IDS_preference,0.02377595612521244,0.5025873203106138
wsi-goettingen,central fixation,M221,wsi-goettingen:M221,German,259,1,16,German,FALSE,11.07375,11.42125,2.321750444452251,2.3081235342617714,0.34750000000000014,0.507723938653034,IDS_preference,-0.01362691019047979,0.4985283713711075
wsi-goettingen,central fixation,M221,wsi-goettingen:M221,German,260,2,16,German,FALSE,9.905,11.73625,2.1784400316914274,2.2428515682770604,1.8312500000000007,0.5423092473863571,IDS_preference,0.06441153658563303,0.5072842443355345
wsi-goettingen,central fixation,M227,wsi-goettingen:M227,German,236,1,16,German,FALSE,8.7225,10.38,1.954032164027218,2.1152928110168743,1.6575000000000006,0.5433843737730664,IDS_preference,0.16126064698965625,0.5198141765499951
wsi-goettingen,central fixation,M227,wsi-goettingen:M227,German,244,2,16,German,FALSE,9.71625,10.04875,2.069306583997347,2.177552700071773,0.3324999999999996,0.508411333164685,IDS_preference,0.10824611607442591,0.512744255087575
wsi-goettingen,central fixation,M230,wsi-goettingen:M230,German,200,1,16,German,FALSE,13.60375,10.00625,2.595741529000527,2.1666305819091445,-3.5975,0.42381406183820414,ADS_preference,-0.4291109470913823,0.4549477721293163
wsi-goettingen,central fixation,M230,wsi-goettingen:M230,German,207,2,16,German,FALSE,9.67625,10.3775,2.205838337832158,2.2066567082526416,0.7012499999999999,0.5174842610484323,IDS_preference,8.18370420483383e-4,0.5000927332962345
wsi-goettingen,central fixation,M329,wsi-goettingen:M329,German,339,1,16,German,FALSE,7.875,11.855,1.940749997594496,2.3811952371838307,3.9800000000000004,0.6008616320324379,IDS_preference,0.4404452395893348,0.550954514190174
wsi-goettingen,central fixation,M329,wsi-goettingen:M329,German,345,2,16,German,FALSE,3.93625,5.28375,1.3170032812127945,1.4696091533144031,1.3475000000000006,0.5730748373101953,IDS_preference,0.1526058721016086,0.5273819692704237
wsi-goettingen,central fixation,M331,wsi-goettingen:M331,German,283,1,16,German,FALSE,7.81875,9.62,1.9851308436758253,2.108151491555613,1.8012499999999996,0.5516450433660669,IDS_preference,0.12302064787978773,0.515027139322999
wsi-goettingen,central fixation,M331,wsi-goettingen:M331,German,289,2,16,German,FALSE,6.8862499999999995,4.45375,1.8075050268467694,1.3825895527241467,-2.432499999999999,0.39274691358024694,ADS_preference,-0.42491547412262265,0.43340080309158485
