Lab,Method,Subject,Subject_Unique,Language,language_recoded,Native,Age_session_1,Age_session_2,total_trial_n_session_1,total_trial_n_session_2,IDS_session_1,IDS_session_2,ADS_session_1,ADS_session_2,Diff_1,Diff_2,Prop_session_1,Prop_session_2,binary_pref_session_1,binary_pref_session_2,mean_log_lt_IDS_session_1,mean_log_lt_IDS_session_2,mean_log_lt_ADS_session_1,mean_log_lt_ADS_session_2,Diff_log_lt_session_1,Diff_log_lt_session_2,Prop_log_lt_session_1,Prop_log_lt_session_2,days_between_sessions,Age
babylab-potsdam,HPP,b7033,babylab-potsdam:b7033,German,German,FALSE,218,239,16,16,8.775125,3.552625,6.153625,3.593875,2.6214999999999993,-0.04125000000000023,0.5878003851628569,0.4971139718743441,IDS_preference,ADS_preference,2.1442669477395024,1.2405228629476872,1.7261817691748778,1.2488995113807673,0.4180851785646247,-0.008376648433080058,0.5540099106258063,0.4983175517904349,21,228.5
babylab-potsdam,HPP,b7145,babylab-potsdam:b7145,German,German,FALSE,254,263,16,16,8.510125,7.628375,6.802375,5.814,1.7077500000000008,1.814375,0.5557632653061225,0.5674871441988488,IDS_preference,IDS_preference,2.0127821466813716,1.9207205305724238,1.7513862618981448,1.704180706213363,0.26139588478322673,0.21653982435906083,0.5347215980277925,0.5298683757451923,9,258.5
babylab-potsdam,HPP,b7146,babylab-potsdam:b7146,German,German,FALSE,220,230,16,16,9.394125,7.024125,7.28475,9.00925,2.109375000000001,-1.985125,0.5632349304134722,0.4380939758472561,IDS_preference,ADS_preference,2.01410914953806,1.8062778608393986,1.835091571871141,1.901748532229191,0.17901757766691917,-0.09547067138979237,0.5232538636750256,0.4871264843788254,10,225
babylab-potsdam,HPP,b7147,babylab-potsdam:b7147,German,German,FALSE,210,217,16,16,7.93075,8.92025,7.555499999999999,8.4225,0.3752500000000003,0.4977499999999999,0.5121155864072968,0.5143503769586715,IDS_preference,IDS_preference,1.9267695522482422,1.9372328309726161,1.9003445141600972,1.8826883280743498,0.026425038088145003,0.05454450289826629,0.5034523452436505,0.5071394801917685,7,213.5
babylab-potsdam,HPP,b7155,babylab-potsdam:b7155,German,German,FALSE,207,217,16,16,11.919375,11.490625,12.021125,14.051124999999999,-0.10174999999999912,-2.5604999999999993,0.4978749399553059,0.4498761831119637,ADS_preference,ADS_preference,2.392977857538122,2.362337111903631,2.3174078345520264,2.584634239694747,0.07557002298609561,-0.2222971277911161,0.5080216385584938,0.4775319976616307,10,212
brookes-babylab,central fixation,MB_42,brookes-babylab:MB_42,English,English,FALSE,228,235,16,16,10.85375,10.838750000000001,6.81125,4.96,4.0424999999999995,5.878750000000001,0.6144211718086612,0.686051111638579,IDS_preference,IDS_preference,2.249298696399034,2.269966724394867,1.8097956840105929,1.562920778430566,0.43950301238844114,0.7070459459643008,0.5541380627301511,0.5922341114164058,7,231.5
brookes-babylab,central fixation,MB_80,brookes-babylab:MB_80,English,English,FALSE,270,282,16,16,6.43625,11.08,5.78125,7.12625,0.6550000000000002,3.9537500000000003,0.5268058113361981,0.6085822176450395,IDS_preference,IDS_preference,1.7881241684382991,2.2391457428653547,1.6539076049705281,1.796122601547576,0.134216563467771,0.44302314131777876,0.5194967060595796,0.5548938885230732,12,276
InfantCog-UBC,central fixation,AD42,InfantCog-UBC:AD42,English,American English,TRUE,158,169,16,16,10.0975,6.425,8.3925,5.69625,1.705,0.7287499999999998,0.5461060032449973,0.5300608435598638,IDS_preference,IDS_preference,2.2251924977647355,1.680214076071282,2.006992508150671,1.6208357250115812,0.21819998961406428,0.059378351059700796,0.5257786449917812,0.5089938587173424,11,163.5
lancslab,Eyetracking,P07,lancslab:P07,English,English,FALSE,210,217,16,16,14.64975,14.347999999999999,13.317375,12.756375,1.332374999999999,1.5916249999999987,0.5238203783906997,0.5293610348882791,IDS_preference,IDS_preference,2.669165748686902,2.636166661218242,2.5622183366792184,2.5219719660437847,0.10694741200768343,0.11419469517445746,0.510221712864369,0.5110693705061464,7,213.5
lancslab,Eyetracking,P10,lancslab:P10,English,English,FALSE,229,236,16,16,12.475875,12.254875,12.89625,10.894875,-0.42037499999999994,1.3599999999999994,0.4917158101656838,0.5293739673214614,ADS_preference,IDS_preference,2.509875422890081,2.4787904125162616,2.5106785677686894,2.311792233005446,-8.031448786085527e-4,0.16699817951081553,0.4999200143171348,0.5174298401538827,7,232.5
lancslab,Eyetracking,P11,lancslab:P11,English,English,FALSE,235,242,16,16,12.016875,15.21925,8.97175,14.177624999999999,3.0451250000000005,1.0416250000000016,0.5725422699200162,0.5177165940257256,IDS_preference,IDS_preference,2.4604688921813063,2.715973013311374,2.103273370984151,2.6271029275295437,0.35719552119715514,0.08887008578183053,0.5391340593530145,0.5083163786895235,7,238.5
wsi-goettingen,central fixation,M220,wsi-goettingen:M220,German,German,FALSE,205,221,16,16,5.9725,11.9225,5.40375,11.46125,0.5687500000000005,0.4612499999999997,0.5249972530491156,0.5098626182712354,IDS_preference,IDS_preference,1.6670288004382032,2.309241346688557,1.54637841732066,2.2854653905633446,0.12065038311754317,0.02377595612521244,0.5187729682143567,0.5025873203106138,16,213
wsi-goettingen,central fixation,M221,wsi-goettingen:M221,German,German,FALSE,259,260,16,16,11.42125,11.73625,11.07375,9.905,0.34750000000000014,1.8312500000000007,0.507723938653034,0.5423092473863571,IDS_preference,IDS_preference,2.3081235342617714,2.2428515682770604,2.321750444452251,2.1784400316914274,-0.01362691019047979,0.06441153658563303,0.4985283713711075,0.5072842443355345,1,259.5
wsi-goettingen,central fixation,M227,wsi-goettingen:M227,German,German,FALSE,236,244,16,16,10.38,10.04875,8.7225,9.71625,1.6575000000000006,0.3324999999999996,0.5433843737730664,0.508411333164685,IDS_preference,IDS_preference,2.1152928110168743,2.177552700071773,1.954032164027218,2.069306583997347,0.16126064698965625,0.10824611607442591,0.5198141765499951,0.512744255087575,8,240
wsi-goettingen,central fixation,M230,wsi-goettingen:M230,German,German,FALSE,200,207,16,16,10.00625,10.3775,13.60375,9.67625,-3.5975,0.7012499999999999,0.42381406183820414,0.5174842610484323,ADS_preference,IDS_preference,2.1666305819091445,2.2066567082526416,2.595741529000527,2.205838337832158,-0.4291109470913823,8.18370420483383e-4,0.4549477721293163,0.5000927332962345,7,203.5
wsi-goettingen,central fixation,M329,wsi-goettingen:M329,German,German,FALSE,339,345,16,16,11.855,5.28375,7.875,3.93625,3.9800000000000004,1.3475000000000006,0.6008616320324379,0.5730748373101953,IDS_preference,IDS_preference,2.3811952371838307,1.4696091533144031,1.940749997594496,1.3170032812127945,0.4404452395893348,0.1526058721016086,0.550954514190174,0.5273819692704237,6,342
wsi-goettingen,central fixation,M331,wsi-goettingen:M331,German,German,FALSE,283,289,16,16,9.62,4.45375,7.81875,6.8862499999999995,1.8012499999999996,-2.432499999999999,0.5516450433660669,0.39274691358024694,IDS_preference,ADS_preference,2.108151491555613,1.3825895527241467,1.9851308436758253,1.8075050268467694,0.12302064787978773,-0.42491547412262265,0.515027139322999,0.43340080309158485,6,286
wsi-goettingen,HPP,M504,wsi-goettingen:M504,German,German,FALSE,228,235,16,16,13.215499999999999,9.79475,12.77725,9.40775,0.43824999999999825,0.38700000000000045,0.508430235354089,0.5100768129149851,IDS_preference,IDS_preference,2.5284017410196444,2.1086736065758425,2.4523808965874485,2.007279540387162,0.07602084443219592,0.1013940661886803,0.50763141557897,0.5123172036425505,7,231.5
wsi-goettingen,HPP,M506,wsi-goettingen:M506,German,German,FALSE,252,259,16,16,13.436625000000001,10.041125,7.01725,7.594125,6.419375000000001,2.446999999999999,0.6569231991493055,0.569378092173346,IDS_preference,IDS_preference,2.5511162852741314,2.2205907992879292,1.7197078162781305,1.8795221474140358,0.8314084689960008,0.34106865187389346,0.5973358360385083,0.5415925922416651,7,255.5
wsi-goettingen,HPP,M511,wsi-goettingen:M511,German,German,FALSE,204,212,16,16,12.7905,9.67775,9.069749999999999,3.9285,3.7207500000000007,5.74925,0.5851030980889971,0.7112723932016537,IDS_preference,IDS_preference,2.3850936704679198,2.0323108681789424,2.079480640994761,1.3020840824694018,0.3056130294731587,0.7302267857095406,0.5342264467060729,0.6094991440002562,8,208
wsi-goettingen,HPP,M514,wsi-goettingen:M514,German,German,FALSE,236,255,16,16,9.761625,7.702875000000001,7.413125,6.4796249999999995,2.3485000000000005,1.223250000000001,0.5683707186421928,0.5431253305129561,IDS_preference,IDS_preference,2.16468473764063,1.9272001011147608,1.8364037478440913,1.7477621486375137,0.32828098979653886,0.17943795247724714,0.5410239602282587,0.5244135776482252,19,245.5
