Subject,Subject_Unique,Age,Gender,Method,preterm,Session,Condition,stimulus,trial_num,LT,trial_error,session_error,session_error_type,Language,Lab,days_between_sessions,log_lt,N_below_threshold_lt,N_IDS,N_ADS,total_trial_n
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,ADS,ADS1,1,14.371,noerror,noerror,NA,German,babylab-potsdam,21,2.66521228709211,0,8,8,16
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,IDS,IDS1,2,13.835,noerror,noerror,NA,German,babylab-potsdam,21,2.6272016132388893,0,8,8,16
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,ADS,ADS2,3,6.163,noerror,noerror,NA,German,babylab-potsdam,21,1.8185636719801062,0,8,8,16
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,IDS,IDS2,4,6.851,noerror,noerror,NA,German,babylab-potsdam,21,1.924394627020762,0,8,8,16
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,IDS,IDS3,5,9.118,noerror,noerror,NA,German,babylab-potsdam,21,2.21025048179125,0,8,8,16
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,ADS,ADS3,6,3.765,noerror,noerror,NA,German,babylab-potsdam,21,1.325747861251857,0,8,8,16
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,ADS,ADS4,7,5.231,noerror,noerror,NA,German,babylab-potsdam,21,1.654602464388474,0,8,8,16
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,IDS,IDS4,8,10.349,noerror,noerror,NA,German,babylab-potsdam,21,2.336889896686036,0,8,8,16
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,IDS,IDS5,9,7.259,noerror,noerror,NA,German,babylab-potsdam,21,1.9822420783027037,0,8,8,16
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,ADS,ADS5,10,5.321,noerror,noerror,NA,German,babylab-potsdam,21,1.6716612556142323,0,8,8,16
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,IDS,IDS6,11,8.399,noerror,noerror,NA,German,babylab-potsdam,21,2.12811265114349,0,8,8,16
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,ADS,ADS6,12,4.226,noerror,noerror,NA,German,babylab-potsdam,21,1.441255919193865,0,8,8,16
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,ADS,ADS7,13,5.728,noerror,noerror,NA,German,babylab-potsdam,21,1.7453664296583444,0,8,8,16
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,IDS,IDS7,14,6.896,noerror,noerror,NA,German,babylab-potsdam,21,1.930941533361392,0,8,8,16
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,IDS,IDS8,15,7.494,noerror,noerror,NA,German,babylab-potsdam,21,2.0141027003714957,0,8,8,16
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,ADS,ADS8,16,4.424,noerror,noerror,NA,German,babylab-potsdam,21,1.4870442642200337,0,8,8,16
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,ADS,ADS1,1,4.291,noerror,noerror,NA,German,babylab-potsdam,21,1.4565198060093878,0,8,8,16
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,IDS,IDS1,2,3.899,noerror,noerror,NA,German,babylab-potsdam,21,1.3607201100004602,0,8,8,16
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,ADS,ADS2,3,2.738,noerror,noerror,NA,German,babylab-potsdam,21,1.007227726866257,0,8,8,16
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,IDS,IDS2,4,2.979,noerror,noerror,NA,German,babylab-potsdam,21,1.0915876737311452,0,8,8,16
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,IDS,IDS3,5,4.517,noerror,noerror,NA,German,babylab-potsdam,21,1.5078480566724672,0,8,8,16
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,ADS,ADS3,6,3.67,noerror,noerror,NA,German,babylab-potsdam,21,1.3001916620664788,0,8,8,16
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,ADS,ADS4,7,4.075,noerror,noerror,NA,German,babylab-potsdam,21,1.404870746692826,0,8,8,16
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,IDS,IDS4,8,3.108,noerror,noerror,NA,German,babylab-potsdam,21,1.1339794325054011,0,8,8,16
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,IDS,IDS5,9,4.925,noerror,noerror,NA,German,babylab-potsdam,21,1.5943242746240522,0,8,8,16
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,ADS,ADS5,10,2.603,noerror,noerror,NA,German,babylab-potsdam,21,0.9566646260124284,0,8,8,16
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,IDS,IDS6,11,2.23,noerror,noerror,NA,German,babylab-potsdam,21,0.8020015854720274,0,8,8,16
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,ADS,ADS6,12,2.473,noerror,noerror,NA,German,babylab-potsdam,21,0.9054319885392791,0,8,8,16
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,ADS,ADS7,13,5.16,noerror,noerror,NA,German,babylab-potsdam,21,1.6409365794934714,0,8,8,16
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,IDS,IDS7,14,3.564,noerror,noerror,NA,German,babylab-potsdam,21,1.2708835096085629,0,8,8,16
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,IDS,IDS8,15,3.199,noerror,noerror,NA,German,babylab-potsdam,21,1.1628382609673809,0,8,8,16
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,ADS,ADS8,16,3.741,noerror,noerror,NA,German,babylab-potsdam,21,1.319352955366009,0,8,8,16
b7105,babylab-potsdam:b7105,197,M,HPP,term,1,ADS,ADS1,1,16.851,noerror,noerror,NA,German,babylab-potsdam,7,2.8244100022184053,0,8,8,16
