Subject,Subject_Unique,Age,Gender,Method,preterm,Session,Condition,stimulus,trial_num,LT,trial_error,session_error,session_error_type,Language,Lab,days_between_sessions
b7027,babylab-potsdam:b7027,251,M,HPP,term,1,training,train2,-2,18,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,251,M,HPP,term,1,training,train1,-1,2.649,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,251,M,HPP,term,1,ADS,ADS1,1,16.125,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,251,M,HPP,term,1,IDS,IDS1,2,14.582,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,251,M,HPP,term,1,ADS,ADS2,3,9.155,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,251,M,HPP,term,1,IDS,IDS2,4,2.595,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,251,M,HPP,term,1,IDS,IDS3,5,8.259,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,251,M,HPP,term,1,ADS,ADS3,6,1.908,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,251,M,HPP,term,1,ADS,ADS4,7,8.164,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,251,M,HPP,term,1,IDS,IDS4,8,2.156,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,251,M,HPP,term,1,IDS,IDS5,9,4.394,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,251,M,HPP,term,1,ADS,ADS5,10,13.032,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,251,M,HPP,term,1,IDS,IDS6,11,1.513,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,251,M,HPP,term,1,ADS,ADS6,12,2.524,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,251,M,HPP,term,1,ADS,ADS7,13,9.032,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,251,M,HPP,term,1,IDS,IDS7,14,17.334,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,251,M,HPP,term,1,IDS,IDS8,15,4.666,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,251,M,HPP,term,1,ADS,ADS8,16,4.147,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,260,M,HPP,term,2,training,train2,-2,12.237,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,260,M,HPP,term,2,training,train1,-1,5.262,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,260,M,HPP,term,2,ADS,ADS1,1,12.843,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,260,M,HPP,term,2,IDS,IDS1,2,13.602,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,260,M,HPP,term,2,ADS,ADS2,3,11.345,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,260,M,HPP,term,2,IDS,IDS2,4,11.774,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,260,M,HPP,term,2,IDS,IDS3,5,14.193,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,260,M,HPP,term,2,ADS,ADS3,6,1.381,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,260,M,HPP,term,2,ADS,ADS4,7,2.967,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,260,M,HPP,term,2,IDS,IDS4,8,4.574,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,260,M,HPP,term,2,IDS,IDS5,9,5.417,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,260,M,HPP,term,2,ADS,ADS5,10,1.398,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,260,M,HPP,term,2,IDS,IDS6,11,1.263,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,260,M,HPP,term,2,ADS,ADS6,12,2.44,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,260,M,HPP,term,2,ADS,ADS7,13,2.312,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,260,M,HPP,term,2,IDS,IDS7,14,10.759,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,260,M,HPP,term,2,IDS,IDS8,15,4.86,noerror,noerror,NA,German,babylab-potsdam,9
b7027,babylab-potsdam:b7027,260,M,HPP,term,2,ADS,ADS8,16,6.163,noerror,noerror,NA,German,babylab-potsdam,9
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,training,train1,-2,8.837,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,training,train2,-1,15.414,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,IDS,IDS5,1,10.794,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,ADS,ADS5,2,9.762,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,ADS,ADS7,3,11.291,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,IDS,IDS7,4,5.66,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,ADS,ADS1,5,15.028,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,IDS,IDS1,6,3.367,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,ADS,ADS3,7,8.704,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,IDS,IDS3,8,4.05,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,ADS,ADS2,9,4.716,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,IDS,IDS2,10,10.309,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,IDS,IDS4,11,2.752,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,ADS,ADS4,12,1.648,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,IDS,IDS6,13,3.381,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,ADS,ADS6,14,4.965,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,IDS,IDS8,15,2.363,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,ADS,ADS8,16,1.551,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,207,F,HPP,term,2,training,train1,-2,6.698,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,207,F,HPP,term,2,training,train2,-1,16.276,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,207,F,HPP,term,2,IDS,IDS5,1,16.256,noerror,noerror,NA,German,babylab-potsdam,7
