lab,subid,test,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
babylab-potsdam,b7027,1,training,train2,-2,18,18,noerror,NA,NA
babylab-potsdam,b7027,1,training,train1,-1,2.649,2.649,noerror,NA,NA
babylab-potsdam,b7027,1,ADS,ADS1,1,16.125,17.812,noerror,NA,NA
babylab-potsdam,b7027,1,IDS,IDS1,2,14.582,17.159,noerror,NA,NA
babylab-potsdam,b7027,1,ADS,ADS2,3,9.155,12.295,noerror,NA,NA
babylab-potsdam,b7027,1,IDS,IDS2,4,2.595,2.595,noerror,NA,NA
babylab-potsdam,b7027,1,IDS,IDS3,5,8.259,9.628,noerror,NA,NA
babylab-potsdam,b7027,1,ADS,ADS3,6,1.908,1.908,noerror,NA,NA
babylab-potsdam,b7027,1,ADS,ADS4,7,8.164,9.494,noerror,NA,NA
babylab-potsdam,b7027,1,IDS,IDS4,8,2.156,2.156,noerror,NA,NA
babylab-potsdam,b7027,1,IDS,IDS5,9,4.394,6.149,noerror,NA,NA
babylab-potsdam,b7027,1,ADS,ADS5,10,13.032,18,noerror,NA,NA
babylab-potsdam,b7027,1,IDS,IDS6,11,1.513,1.513,noerror,NA,NA
babylab-potsdam,b7027,1,ADS,ADS6,12,2.524,2.524,noerror,NA,NA
babylab-potsdam,b7027,1,ADS,ADS7,13,9.032,10.468,noerror,NA,NA
babylab-potsdam,b7027,1,IDS,IDS7,14,17.334,17.731,noerror,NA,NA
babylab-potsdam,b7027,1,IDS,IDS8,15,4.666,4.666,noerror,NA,NA
babylab-potsdam,b7027,1,ADS,ADS8,16,4.147,5.948,noerror,NA,NA
babylab-potsdam,b7027,2,training,train2,-2,12.237,16.69,noerror,NA,NA
babylab-potsdam,b7027,2,training,train1,-1,5.262,5.766,noerror,NA,NA
babylab-potsdam,b7027,2,ADS,ADS1,1,12.843,18,noerror,NA,NA
babylab-potsdam,b7027,2,IDS,IDS1,2,13.602,18.001,noerror,NA,NA
babylab-potsdam,b7027,2,ADS,ADS2,3,11.345,13.86,noerror,NA,NA
babylab-potsdam,b7027,2,IDS,IDS2,4,11.774,18.001,noerror,NA,NA
babylab-potsdam,b7027,2,IDS,IDS3,5,14.193,18,noerror,NA,NA
babylab-potsdam,b7027,2,ADS,ADS3,6,1.381,1.381,noerror,NA,NA
