"lab","subid","test","trial_type","stimulus","trial_num","looking_time","total_trial_time","trial_error","trial_error_type","notes"
"infantll-madison","mb2_001",1,"training","training",-2,"17.914","18","noerror","",NA
"infantll-madison","mb2_001",1,"training","training",-1,"12.087","16.025","noerror","","took ~30s to turn to side stimulus; fussy in period before fixating side stimulus"
"infantll-madison","mb2_001",1,"IDS","IDS1",1,"4.779","8.087","noerror","","cried a little before fixating side stimulus and towards end of side sound"
"infantll-madison","mb2_001",1,"ADS","ADS1",2,"4.272","6.718","noerror","","cried before fixating side stimulus"
"infantll-madison","mb2_001",1,"IDS","IDS2",3,"12.832","15.201","noerror","","cried before fixating side stimulus"
"infantll-madison","mb2_001",1,"ADS","ADS2",4,"4.791","8.3","error","experimenter error","difficult to code because crying while oriented to side stimulus; possible coding issue with trial going on too long after infant looked away"
"infantll-madison","mb2_001",1,"ADS","ADS3",5,"7.432","9.438","error","parent interference","fussy but somewhat attentive during side sound; parent is strapping child into their pack throughout trial (parent interference)"
"infantll-madison","mb2_001",1,"IDS","IDS3",6,"1.768","3.778","noerror","","child starts crying as they look away"
"infantll-madison","mb2_001",1,"IDS","IDS4",7,"NC","NC","error","experiment ended early","No data; advanced due to child fussiness"
"infantll-madison","mb2_001",1,"ADS","ADS4",8,"NC","NC","error","experiment ended early","No data; experiment ended due to child fussiness"
"infantll-madison","mb2_001",1,"ADS","ADS5",9,"NC","NC","error","experiment ended early","fussed out"
"infantll-madison","mb2_001",1,"IDS","IDS5",10,"NC","NC","error","experiment ended early",NA
"infantll-madison","mb2_001",1,"ADS","ADS6",11,"NC","NC","error","experiment ended early",NA
"infantll-madison","mb2_001",1,"IDS","IDS6",12,"NC","NC","error","experiment ended early",NA
"infantll-madison","mb2_001",1,"IDS","IDS7",13,"NC","NC","error","experiment ended early",NA
"infantll-madison","mb2_001",1,"ADS","ADS7",14,"NC","NC","error","experiment ended early",NA
"infantll-madison","mb2_001",1,"ADS","ADS8",15,"NC","NC","error","experiment ended early",NA
"infantll-madison","mb2_001",1,"IDS","IDS8",16,"NC","NC","error","experiment ended early",NA
"infantll-madison","mb2_001",2,"training","training",-2,"13.44","15.451","noerror",NA,NA
"infantll-madison","mb2_001",2,"training","training",-1,"2.591","4.601","noerror",NA,NA
"infantll-madison","mb2_001",2,"ADS","ADS5Retest",1,"16.421","18","noerror",NA,NA
"infantll-madison","mb2_001",2,"IDS","IDS5Retest",2,"3.759","5.766","noerror",NA,NA
"infantll-madison","mb2_001",2,"IDS","IDS7Retest",3,"6.391","9.332","noerror",NA,NA
"infantll-madison","mb2_001",2,"ADS","ADS7Retest",4,"10.488","12.497","noerror",NA,NA
"infantll-madison","mb2_001",2,"IDS","IDS1Retest",5,"3.447","6.482","noerror",NA,NA
"infantll-madison","mb2_001",2,"ADS","ADS1Retest",6,"3.353","5.358","noerror",NA,NA
"infantll-madison","mb2_001",2,"IDS","IDS3Retest",7,"18","18","noerror",NA,NA
"infantll-madison","mb2_001",2,"ADS","ADS3Retest",8,"9.536","11.539","noerror",NA,NA
"infantll-madison","mb2_001",2,"IDS","IDS2Retest",9,"18","18","noerror",NA,NA
"infantll-madison","mb2_001",2,"ADS","ADS2Retest",10,"8.385","12.381","noerror",NA,NA
"infantll-madison","mb2_001",2,"ADS","ADS4Retest",11,"9.639","15.305","noerror",NA,"one somewhat long lookaway (<3s) treated as 2s"
