"";"Subject";"Age";"Gender";"Method";"preterm";"Session";"Condition";"trial_num";"LT";"trial_error";"session_error";"Language";"Lab"
"1";"P01";"208";"M";"Eyetracking";"term";"1";"training";-2;16,303;"noerror";"noerror";"English";"lancslab"
"2";"P01";"208";"M";"Eyetracking";"term";"1";"training";-1;15,385;"noerror";"noerror";"English";"lancslab"
"3";"P01";"208";"M";"Eyetracking";"term";"1";"IDS";1;8,602;"noerror";"noerror";"English";"lancslab"
"4";"P01";"208";"M";"Eyetracking";"term";"1";"ADS";2;12,07;"noerror";"noerror";"English";"lancslab"
"5";"P01";"208";"M";"Eyetracking";"term";"1";"IDS";3;11,577;"noerror";"noerror";"English";"lancslab"
"6";"P01";"208";"M";"Eyetracking";"term";"1";"ADS";4;10,965;"noerror";"noerror";"English";"lancslab"
"7";"P01";"208";"M";"Eyetracking";"term";"1";"ADS";5;12,274;"noerror";"noerror";"English";"lancslab"
"8";"P01";"208";"M";"Eyetracking";"term";"1";"IDS";6;9,231;"noerror";"noerror";"English";"lancslab"
"9";"P01";"208";"M";"Eyetracking";"term";"1";"IDS";7;9,707;"noerror";"noerror";"English";"lancslab"
"10";"P01";"208";"M";"Eyetracking";"term";"1";"ADS";8;11,594;"noerror";"noerror";"English";"lancslab"
"11";"P01";"208";"M";"Eyetracking";"term";"1";"ADS";9;14,297;"noerror";"noerror";"English";"lancslab"
"12";"P01";"208";"M";"Eyetracking";"term";"1";"IDS";10;8,534;"noerror";"noerror";"English";"lancslab"
"13";"P01";"208";"M";"Eyetracking";"term";"1";"ADS";11;8,925;"noerror";"noerror";"English";"lancslab"
"14";"P01";"208";"M";"Eyetracking";"term";"1";"IDS";12;7,48;"noerror";"noerror";"English";"lancslab"
"15";"P01";"208";"M";"Eyetracking";"term";"1";"IDS";13;11,679;"error";"noerror";"English";"lancslab"
"16";"P01";"208";"M";"Eyetracking";"term";"1";"ADS";14;7,973;"error";"noerror";"English";"lancslab"
"17";"P01";"208";"M";"Eyetracking";"term";"1";"ADS";15;7,395;"error";"noerror";"English";"lancslab"
"18";"P01";"208";"M";"Eyetracking";"term";"1";"IDS";16;7,327;"error";"noerror";"English";"lancslab"
"19";"P01";"215";"M";"Eyetracking";"term";"2";"training";-2;17,867;"noerror";"noerror";"English";"lancslab"
"20";"P01";"215";"M";"Eyetracking";"term";"2";"training";-1;15,181;"noerror";"noerror";"English";"lancslab"
"21";"P01";"215";"M";"Eyetracking";"term";"2";"IDS";1;16,898;"noerror";"noerror";"English";"lancslab"
"22";"P01";"215";"M";"Eyetracking";"term";"2";"ADS";2;15,844;"noerror";"noerror";"English";"lancslab"
"23";"P01";"215";"M";"Eyetracking";"term";"2";"IDS";3;17,442;"noerror";"noerror";"English";"lancslab"
